Feature,Importance
num__pm2_5,0.8869348890160346
num__pm10,0.0680908272244498
num__pm2_5_change_1h,0.01284568082631103
num__hour_sin,0.00923186300991509
num__hour_cos,0.007668910845942781
num__pm2_5_rolling_mean_24h,0.0032639765443413754
num__pm2_5_change_3h,0.0027286447487931383
num__hour,0.0014770516703757808
num__ozone_lag_3h,0.000733455166203997
num__pm2_5_change_6h,0.0006220958212013943
num__pm2_5_rolling_mean_12h,0.0005521558002422726
num__carbon_monoxide,0.0004773566601535932
num__pm2_5_rolling_std_3h,0.00045317218407646024
num__pm2_5_change_24h,0.0004258098940492845
num__pm2_5_lag_12h,0.0002688547831164306
num__sulphur_dioxide,0.0002612744902018938
num__pm2_5_rolling_std_6h,0.0002608433142194284
cat__city_Faisalabad,0.00021900045858681981
num__ozone,0.00021406204582537737
num__nitrogen_dioxide,0.00021387565853145577
num__sulphur_dioxide_lag_6h,0.0001984429769812525
num__pm10_lag_6h,0.0001913685012255552
num__pm2_5_rolling_std_24h,0.0001825463379728127
num__pm2_5_rolling_mean_6h,0.00013258290665713827
num__nitrogen_dioxide_lag_3h,0.00012674063517135613
num__pm2_5_lag_6h,0.00012170314188012176
num__pm2_5_lag_1h,0.00011872829543782178
num__longitude,0.00010951070478632271
num__nitrogen_dioxide_lag_6h,0.00010734138382716869
num__ozone_lag_1h,0.00010466502820436446
num__ozone_lag_6h,0.0001036733108401676
num__pm2_5_rolling_std_12h,9.262237324193163e-05
num__temperature,8.97791787149448e-05
num__carbon_monoxide_lag_6h,8.886751919122714e-05
num__sulphur_dioxide_lag_3h,8.734239189167962e-05
num__pm2_5_rolling_mean_3h,8.437308916930115e-05
num__pressure,8.2670482702485e-05
num__pm2_5_lag_3h,8.233013977598857e-05
num__ozone_lag_24h,7.860487546027293e-05
num__wind_direction,7.716653543530246e-05
num__pm10_lag_1h,6.618167136812388e-05
num__nitrogen_dioxide_lag_24h,6.096798443463311e-05
num__nitrogen_dioxide_lag_1h,5.7879295667196495e-05
num__humidity,5.580814561664309e-05
num__pm2_5_lag_2h,5.496542082561267e-05
num__sulphur_dioxide_lag_1h,4.9012947562375994e-05
num__pm10_lag_24h,4.708652036308651e-05
num__wind_speed,4.3427414966528156e-05
num__pm10_lag_3h,3.85378936998599e-05
num__sulphur_dioxide_lag_24h,3.29859091555912e-05
num__carbon_monoxide_lag_24h,3.135672749687494e-05
num__carbon_monoxide_lag_1h,3.11448816220867e-05
num__pm2_5_lag_24h,2.923269603211762e-05
num__year,2.7111685280057484e-05
num__dust_lag_24h,2.5322205480360828e-05
cat__city_Multan,2.1968910022085588e-05
num__dust_lag_3h,2.1302723607582616e-05
num__carbon_monoxide_lag_3h,1.2959952221106064e-05
num__dust_lag_6h,1.191711750839321e-05
num__latitude,1.0201392829653925e-05
cat__city_Peshawar,9.066594517115877e-06
cat__season_Autumn,8.373762946565026e-06
num__dust_lag_1h,7.73000323617777e-06
cat__season_Winter,7.638588384190813e-06
num__dust,7.20072946050724e-06
num__month,5.54296863662781e-06
num__month_sin,5.344027972361819e-06
num__dayofweek_sin,4.227622612905472e-06
cat__city_Lahore,3.814380321999894e-06
num__precipitation,3.0742485460975658e-06
num__dayofweek_cos,2.072381014429384e-06
num__is_weekend,8.692067291473764e-07
cat__city_Karachi,8.140187225213736e-07
num__month_cos,0.0
cat__city_Islamabad,0.0
cat__city_Rahim Yar Khan,0.0
cat__city_Quetta,0.0
cat__city_Sialkot,0.0
cat__city_Rawalpindi,0.0
